CPU,Codename,Min_Cores,Max_Cores,Clock,Min_Clock,Min_Clock(MHz),Max_Clock,Max_Clock(MHz),Size,Socket,Process,Process(NM),TDP(Watts),Release
Z-60,Hondo,2,2,1000 MHz,1000,1000,1000,1000,MHz,Socket FT1,40 nm,40 ,5,"Oct 9th, 2012"
Z-01,Desna,2,2,1000 MHz,1000,1000,1000,1000,MHz,Socket FT1,40 nm,40 ,6,"Jun 1st, 2011"
Xeon X5698,Westmere-EP,2,4,4.4 GHz,4.4,4400,4.4,4400,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon X5690,Westmere-EP,6,12,3.466 to 3.733 GHz,3.466,3466,3.733,3733,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon X5687,Westmere-EP,4,8,3.6 to 3.866 GHz,3.6,3600,3.866,3866,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon X5680,Westmere-EP,6,12,3.333 to 3.6 GHz,3.333,3333,3.6,3600,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2010"
Xeon X5677,Westmere-EP,4,8,3.466 to 3.733 GHz,3.466,3466,3.733,3733,GHz,Socket 1366,32 nm,32 ,130,"Mar 16th, 2010"
Xeon X5675,Westmere-EP,6,12,3.066 to 3.466 GHz,3.066,3066,3.466,3466,GHz,Socket 1366,32 nm,32 ,95,"Feb 14th, 2011"
Xeon X5672,Westmere-EP,4,8,3.2 to 3.6 GHz,3.2,3200,3.6,3600,GHz,Socket 1366,32 nm,32 ,95,"Feb 14th, 2011"
Xeon X5670,Westmere-EP,6,12,2.933 to 3.333 GHz,2.933,2933,3.333,3333,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5667,Westmere-EP,4,8,3.066 to 3.466 GHz,3.066,3066,3.466,3466,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5660,Westmere-EP,6,12,2.8 to 3.2 GHz,2.8,2800,3.2,3200,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5650,Westmere-EP,6,12,2.666 to 3.066 GHz,2.666,2666,3.066,3066,GHz,Socket 1366,32 nm,32 ,95,"Mar 16th, 2010"
Xeon X5647,Westmere-EP,4,8,2.933 to 3.2 GHz,2.933,2933,3.2,3200,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon W3690,Gulftown,6,12,3.466 to 3.733 GHz,3.466,3466,3.733,3733,GHz,Socket 1366,32 nm,32 ,130,"Feb 14th, 2011"
Xeon W3680,Gulftown,6,12,3.333 to 3.6 GHz,3.333,3333,3.6,3600,GHz,Socket 1366,32 nm,32 ,130,"Mar 16th, 2010"
Xeon W3670,Gulftown,6,12,3.2 to 3.466 GHz,3.2,3200,3.466,3466,GHz,Socket 1366,32 nm,32 ,130,"Aug 29th, 2010"
Xeon W3530,Bloomfield,4,8,2.8 to 3.066 GHz,2.8,2800,3.066,3066,GHz,Socket 1366,45 nm,45 ,130,"Mar 16th, 2010"
Xeon W3505,Bloomfield,2,2,2.533 GHz,2.533,2533,2.533,2533,GHz,Socket 1366,45 nm,45 ,130,"Mar 30th, 2009"
Xeon W3503,Bloomfield,2,2,2.4 GHz,2.4,2400,2.4,2400,GHz,Socket 1366,45 nm,45 ,130,"Mar 30th, 2009"
Xeon W-3375,Ice Lake-W,38,76,2.5 to 4 GHz,2.5,2500,4,4000,GHz,Socket 4189,10 nm,10 ,270,"Jul 29th, 2021"
Xeon W-3365,Ice Lake-W,32,64,2.7 to 4 GHz,2.7,2700,4,4000,GHz,Socket 4189,10 nm,10 ,270,"Jul 29th, 2021"
Xeon W-3345,Ice Lake-W,24,48,3 to 4 GHz,3,3000,4,4000,GHz,Socket 4189,10 nm,10 ,250,"Jul 29th, 2021"
Xeon W-3335,Ice Lake-W,16,32,3.4 to 4 GHz,3.4,3400,4,4000,GHz,Socket 4189,10 nm,10 ,250,"Jul 29th, 2021"
Xeon W-3323,Ice Lake-W,12,24,3.5 to 4 GHz,3.5,3500,4,4000,GHz,Socket 4189,10 nm,10 ,220,"Jul 29th, 2021"
Xeon W-3175X,Skylake-W,28,56,3.1 to 4.3 GHz,3.1,3100,4.3,4300,GHz,Socket 3647,14 nm,14 ,255,"Dec 19th, 2018"
Xeon W-2195,Skylake-W,18,36,2.3 to 4.3 GHz,2.3,2300,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2191B,Skylake-W,18,36,2.3 to 4.3 GHz,2.3,2300,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Dec 21st, 2017"
Xeon W-2175,Skylake-W,14,28,2.5 to 4.3 GHz,2.5,2500,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Oct 15th, 2017"
Xeon W-2170B,Skylake-W,14,28,2.5 to 4.3 GHz,2.5,2500,4.3,4300,GHz,Socket 2066,14 nm,14 ,140,"Dec 21st, 2017"
Xeon W-2155,Skylake-W,10,20,3.3 to 4.5 GHz,3.3,3300,4.5,4500,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2150B,Skylake-W,10,20,3 to 4.5 GHz,3,3000,4.5,4500,GHz,Socket 2066,14 nm,14 ,120,"Dec 21st, 2017"
Xeon W-2135,Skylake-W,6,12,3.7 to 4.5 GHz,3.7,3700,4.5,4500,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2133,Skylake-W,6,12,3.6 to 3.9 GHz,3.6,3600,3.9,3900,GHz,Socket 2066,14 nm,14 ,140,"Aug 29th, 2017"
Xeon W-2125,Skylake-W,4,8,4 to 4.5 GHz,4,4000,4.5,4500,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-2123,Skylake-W,4,8,3.6 to 3.9 GHz,3.6,3600,3.9,3900,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-2104,Skylake-W,4,4,3.2 GHz,3.2,3200,3.2,3200,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-2102,Skylake-W,4,4,2.9 GHz,2.9,2900,2.9,2900,GHz,Socket 2066,14 nm,14 ,120,"Aug 29th, 2017"
Xeon W-1290P,Comet Lake,10,20,3.7 to 5.3 GHz,3.7,3700,5.3,5300,GHz,Socket 1200,10 nm,10 ,125,"May 13th, 2020"
Xeon W-1290,Comet Lake,10,20,3.2 to 5.2 GHz,3.2,3200,5.2,5200,GHz,Socket 1200,14 nm,14 ,80,"May 13th, 2020"
Xeon W-11955M,Tiger Lake-H,8,16,2.1 to 5 GHz,2.1,2100,5,5000,GHz,BGA 1499,10 nm,10 ,35,"May 11th, 2021"
Xeon W-11855M,Tiger Lake-H,6,12,3.2 to 4.9 GHz,3.2,3200,4.9,4900,GHz,BGA 1787,10 nm,10 ,35,"May 11th, 2021"
Xeon Silver 4316,Ice Lake-SP,20,40,2.3 to 3.4 GHz,2.3,2300,3.4,3400,GHz,Socket 4189,10 nm,10 ,150,"Apr 6th, 2021"
Xeon Silver 4314,Ice Lake-SP,16,32,2.4 to 3.4 GHz,2.4,2400,3.4,3400,GHz,Socket 4189,10 nm,10 ,135,"Apr 6th, 2021"
