LaptopID,Company,Type,Inches,ScreenAndRes,Screen,Resolution,CpuMan,CPU/Withclock,CPU,Ram,Ram(GB),Storage(Primary),Storage(Secondary),Storage(P(GB)),Storage(S(GB)),Storage(GB),Gpu,OS
227,Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Full HD / Touchscreen ,1920x1080,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,12GB,12,512GB SSD,2TB HDD,512,"2,000","2,512",Nvidia GeForce GT 940MX,Windows 10
159,Asus,2 in 1 Convertible,15.6,4K Ultra HD / Touchscreen 3840x2160,4K Ultra HD / Touchscreen ,3840x2160,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,16GB,16,512GB SSD,2TB HDD,512,"2,000","2,512",Nvidia GeForce GTX 950M,Windows 10
1173,MSI,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 6700HQ 2.6GHz,Core i7 6700HQ 2.6GHz,Core i7 6700HQ ,16GB,16,512GB SSD,2TB HDD,512,"2,000","2,512",Nvidia GeForce GTX 1060,Windows 10
422,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10
455,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10
533,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Linux
542,Dell,Notebook,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10
557,Dell,Notebook,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10
474,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,256GB SSD,2TB HDD,256,"2,000","2,256",AMD Radeon 530,Windows 10
1185,MSI,Gaming,15.6,4K Ultra HD 3840x2160,4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1060,Windows 10
1199,MSI,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1070,Windows 10
1202,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1070,Windows 10
1074,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1050 Ti,Windows 10
492,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,128GB SSD,2TB HDD,128,"2,000","2,128",AMD Radeon 530,Windows 10
513,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,128GB SSD,2TB HDD,128,"2,000","2,128",AMD Radeon 530,Windows 10
734,HP,Notebook,14,1366x768,Regular,1366x768,Intel Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 405,Windows 10
769,HP,Notebook,15.6,1366x768,Regular,1366x768,Intel Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 405,Windows 10
1095,Lenovo,Notebook,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,2TB HDD,,2000,0,"2,000",Nvidia GeForce MX150,No OS
410,Dell,Gaming,17.3,4K Ultra HD 3840x2160,4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,1TB SSD,1TB HDD,1000,"1,000","2,000",Nvidia GeForce GTX 1070,Windows 10
396,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,1TB SSD,1TB HDD,1000,"1,000","2,000",Nvidia GeForce GTX 1070M,Windows 10
181,Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Full HD / Touchscreen ,1920x1080,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,12GB,12,2TB HDD,,2000,0,"2,000",Nvidia GeForce 940MX,Windows 10
332,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,16GB,16,2TB HDD,,2000,0,"2,000",AMD Radeon R7 M445,Windows 10
612,HP,Notebook,15.6,1366x768,Regular,1366x768,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 620,Windows 10
465,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i5 8250U 1.6GHz,Core i5 8250U 1.6GHz,Core i5 8250U ,8GB,8,2TB HDD,,2000,0,"2,000",AMD Radeon 530,Windows 10
975,Lenovo,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,4GB,4,1TB HDD,1TB HDD,1000,"1,000","2,000",Intel HD Graphics 620,Windows 10
803,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,6GB,6,2TB HDD,,2000,0,"2,000",AMD Radeon 520,Windows 10
1128,Lenovo,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 620,No OS
