Name,Min_CPU_Cores,Recom_CPU_Cores,Min_CPU_TDP,Recom_CPU_TDP,Min_GPU_Memory(MB),Recom_GPU_Memory(MB),Min_GPU_Memory_Clock(MHz),Recom_GPU_Memory_Clock(MHz),Min_RAM,Min_Ram(GB),Recom_RAM,Recom_RAM(GB),Min_OS,Recom_OS,Min_Storage,Min_Storage(GB),Recom_Storage,Recom_Storage(GB),Release_Date
Call of Duty: WWII,3,5,60,95,2048,7168,1351,2001,8 GB,8 ,12 GB,12 ,Windows 7 64-bit,Windows 10 64-bit,90 GB,90 ,90 GB,90 ,2017-11-03
Hollow Knight,2,3,65,99,512,1024,1046.5,1000.5,4 GB,4 ,8 GB,8 ,Windows 7 32-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2017-02-24
Those Who Remain,3,5,65,80,960,1792,1074.5,962,4 GB,4 ,8 GB,8 ,Windows Vista 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-05-28
Element TD 2 - Multiplayer Tower Defense,2,3,65,90,768,1536,450,1225,6 GB,6 ,8 GB,8 ,Windows 8 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2021-04-02
Lucen,4,4,50,65,3072,4608,1501.5,1751,8 GB,8 ,8 GB,8 ,Windows 10 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2021-01-01
AeternoBlade II: Directors Rewind,5,4,89.5,65,2048,7168,1275,2001,8 GB,8 ,8 GB,8 ,Windows 7 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-09-08
Panzer Corps 2,3,3,84,89.5,2048,6144,1487.5,1876.5,8 GB,8 ,8 GB,8 ,Windows 8 64-bit,Windows 10 64-bit,9 GB,9 ,9 GB,9 ,2020-03-19
Dead Or Alive 5 Last Round,5,6,110,110,1024,1792,450,1087,2 GB,2 ,6 GB,6 ,Windows Vista 32-bit,Windows 7 64-bit,9 GB,9 ,10 GB,10 ,2015-03-30
Carmageddon: Max Damage,2,4,65,110,1536,2560,1051,1376,4 GB,4 ,6 GB,6 ,Windows 7 32-bit,Windows 8 64-bit,9 GB,9 ,9 GB,9 ,2016-07-08
Heroes over Europe,2,2,80,65,320,416,525,396,1 GB,1 ,4 GB,4 ,Windows XP 32-bit,Windows Vista 64-bit,9 GB,9 ,9 GB,9 ,2009-09-18
